ID,Title,Keywords,Director,Cast,Genres,Vote Average
10439,Hocus Pocus,"'sibling relationship', 'witch', 'magic', 'virgin', 'halloween', 'resurrection', 'undead', 'potion', 'salem, massachusetts', 'trick or treating', 'spellcasting', 'talking cat', 'time skip', 'grimoire'",Kenny Ortega,"'Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz', 'Thora Birch', 'Vinessa Shaw', 'Tobias Jelinek', 'Larry Bagby', 'Doug Jones', 'Amanda Shepherd', 'Stephanie Faracy', 'Charles Rocket', 'Karyn Malchus', 'Sean Murray', 'Steve Voboril', 'Norbert Weisser', 'Kathleen Freeman', 'D.A. Pauley', 'Ezra Sutton', 'Don Yesso', 'Michael McGrady', 'Leigh Hamilton', 'Devon Reeves', 'Joseph Malone', 'Jordan Redmond', 'Frank Del Boccio', 'Jeff Neubauer', 'Teda Bracci', 'Peggy Holmes', 'Jason Marsden', 'Garry Marshall', 'Penny Marshall'","'Fantasy', 'Comedy', 'Family'",7.057
267935,The BFG,"'london, england', 'england', 'queen', 'little girl', 'orphan', 'cannibal', 'based on children's book', 'giant', 'evil brother', 'live action remake'",Steven Spielberg,"'Mark Rylance', 'Ruby Barnhill', 'Rebecca Hall', 'Jemaine Clement', 'Bill Hader', 'Penelope Wilton', 'Marilyn Norry', 'Chris Shields', 'Matt Frewer', 'Geoffrey Wade', 'Rafe Spall', 'Haig Sutherland', 'John Emmet Tracy', 'Adam Godley', 'Daniel Bacon', 'Paul Moniz de Sa', 'Ólafur Darri Ólafsson', 'Michael Adamthwaite', 'Gabrielle Rose', 'Lucia Ryan', 'Julia Torrance', 'Graham Curry', 'Jonathan Holmes', 'Chris Gibbs', 'Callum Seagram Airlie', 'Shauna Hansen', 'Denise Jones', 'William Samples', 'Andy Thompson', 'Paul Barnhill', 'Gintare Beinoraviciute', 'Gerardo Barcala', 'Simona Hughes'","'Adventure', 'Family', 'Fantasy'",6.256
39101,ドラゴンボールZ 地球まるごと超決戦,"'martial arts', 'camping', 'tree', 'dragon', 'dying world', 'doppelgänger', 'space pirate', 'anime', 'fruit', 'team work'",Daisuke Nishio,"'Masako Nozawa', 'Toshio Furukawa', 'Mayumi Tanaka', 'Hirotaka Suzuoki', 'Naoko Watanabe', 'Joji Yanami', 'Hiromi Tsuru', 'Naoki Tatsuta', 'Kōhei Miyauchi'","'Action', 'Animation', 'Science Fiction'",6.492
223702,Sausage Party,"'supermarket', 'parody', 'sausage', 'food', 'anthropomorphism', 'adult animation', 'grocery store', 'sex party', 'gum'",Conrad Vernon,"'Seth Rogen', 'Kristen Wiig', 'Jonah Hill', 'Bill Hader', 'Michael Cera', 'James Franco', 'Danny McBride', 'Craig Robinson', 'Paul Rudd', 'Nick Kroll', 'David Krumholtz', 'Edward Norton', 'Salma Hayek Pinault', 'Anders Holm', 'Scott Underwood', 'Sugar Lyn Beard', 'Conrad Vernon', 'Ian James Corlett', 'Michael Daingerfield', 'Jason Simpson', 'Vincent Tong', 'Karen E. Wright', 'Lauren Miller', 'Sam Vincent', 'Greg Tiernan', 'Brian Dobson', 'Harland Williams', 'Alistair Abell', 'Iris Apatow', 'Michael Dobson', 'Ian Hanlin', 'Maryke Hendrikse', 'Nicole Oliver', 'Kelly Sheridan', 'Meat Loaf'","'Adventure', 'Animation', 'Comedy', 'Fantasy'",5.739
1029529,無力の王,,Kenji Ishiguro,"'Mio Takaki', 'Jinpachi Nezu', 'Junko Enjou', 'Namihiko Ohmura', 'Kazumi Sawada', 'Jiro Karasawa'",,0.0
1109534,The Dive,'remake',Maximilian Erlenwein,"'Louisa Krause', 'Sophie Lowe', 'Stella Uhrig', 'Shire Richardson', 'David Scicluna'",'Thriller',6.094
66105,聖闘士星矢 真紅の少年伝説,"'mythology', 'greek mythology', 'fighter', 'based on manga', 'suit of armor', 'shounen', 'anime', 'deity'",Shigeyasu Yamauchi,"'Toru Furuya', 'Hirotaka Suzuoki', 'Hideyuki Hori', 'Ryou Horikawa', 'Koichi Hashimoto', 'Keiko Han', 'Kazuyuki Sogabe', 'Akira Kamiya', 'Katsuji Mori', 'Toshio Furukawa', 'Taichiro Hirokawa', 'Koji Totani', 'Keiichi Nanba', 'Ryoichi Tanaka', 'Rokuro Naya', 'Yumiko Shibata'","'Action', 'Animation', 'Fantasy'",7.613
866398,The Beekeeper,,David Ayer,"'Jason Statham', 'Jeremy Irons', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson', 'Minnie Driver', 'Enzo Cilenti', 'Dan Li', 'Taylor James', 'Adam Basil', 'Reza Diako', 'Phylicia Rashād'","'Action', 'Thriller'",0.0
550205,Wish Dragon,"'wish', 'dragon'",Chris Appelhans,"'Jimmy Wong', 'John Cho', 'Constance Wu', 'Natasha Liu Bordizzo', 'Jimmy O. Yang', 'Aaron Yoo', 'Will Yun Lee', 'Bobby Lee', 'Nico Santos', 'Ronny Chieng', 'Ian Chen', 'Sumalee Montano', 'David So', 'Gustav Lindquist', 'Alexandre Chen', 'Alyssa Abiera', 'Gabriel Lee', 'Chris Appelhans', 'Rad Sechrist', 'Cathy Cavadini', 'Levi Nunez', 'Nora Wyman', 'Jeremy Maxwell', 'Lee Chen', 'James Taku Leung', 'Constance Parng', 'Malana Lea', 'Victor Chi', 'Elizabeth Pan', 'Paul Kwo', 'Kathy Wu', 'Wilky Lau', 'Willow Geer', 'Will Collyer', 'Regina Taufen', 'David Arnott', 'Simon Twu', 'Jackie Chan'","'Animation', 'Family', 'Comedy', 'Fantasy'",7.954
11197,Ondskan,"'based on novel or book', 'private school', 'spanking', 'discipline', 'oppression', 'corporal punishment', 'boys' boarding school'",Mikael Håfström,"'Andreas Wilson', 'Henrik Lundström', 'Gustaf Skarsgård', 'Linda Zilliacus', 'Jesper Salén', 'Mats Bergman', 'Johan Rabaeus', 'Marie Richardson', 'Lennart Hjulström', 'Björn Granath', 'Filip Berg', 'Ulf Friberg', 'Kjell Bergqvist', 'Fredrik af Trampe', 'Peter Eggers', 'Henrik Linnros', 'Sannamari Patjas', 'Magnus Roosmann'",'Drama',7.249
